epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9859,1.1905,5.33714,1.17651,0.05914,0.02074,0.03706,0.03518,1.02964,4.6219,1.05782,5.13659e-05,5.13659e-05,5.13659e-05
2,32.1698,1.25862,4.69082,1.17752,0.60626,0.04327,0.06625,0.05937,1.05153,3.70074,1.05769,0.000102087,0.000102087,0.000102087
3,46.1456,1.22412,4.17508,1.15627,0.37044,0.14598,0.07952,0.07021,1.11048,3.39911,1.0761,0.000151521,0.000151521,0.000151521
4,72.7461,1.23783,3.95038,1.15997,0.41333,0.15722,0.11327,0.09765,1.06804,3.30397,1.0449,0.000150208,0.000150208,0.000150208
5,104.011,1.18464,3.73904,1.13078,0.46956,0.12505,0.09467,0.08377,1.04132,3.11611,1.06343,0.000148278,0.000148278,0.000148278
6,118.594,1.19187,3.59822,1.13523,0.33257,0.18243,0.11002,0.09299,1.11248,3.14825,1.07581,0.000146347,0.000146347,0.000146347
7,147.69,1.17996,3.4863,1.12661,0.30266,0.21499,0.15699,0.13231,1.07442,3.07978,1.08413,0.000144417,0.000144417,0.000144417
8,181.939,1.14063,3.36234,1.11191,0.32124,0.18013,0.13895,0.11738,1.05563,3.13796,1.06443,0.000142486,0.000142486,0.000142486
9,203.4,1.1522,3.28664,1.11481,0.27197,0.21803,0.1778,0.15109,1.05243,3.00183,1.06452,0.000140556,0.000140556,0.000140556
10,217.68,1.11797,3.17919,1.0899,0.35396,0.19932,0.19406,0.15269,1.10034,2.89536,1.08034,0.000138626,0.000138626,0.000138626
11,232.93,1.10681,3.10124,1.08532,0.47812,0.16437,0.20102,0.17305,1.06528,2.92689,1.04563,0.000136695,0.000136695,0.000136695
12,247.947,1.1027,3.06477,1.09628,0.34482,0.28241,0.22927,0.20268,1.0356,2.85311,1.04165,0.000134765,0.000134765,0.000134765
13,263.104,1.10947,2.99393,1.08214,0.2418,0.23994,0.19099,0.16295,1.05482,2.85768,1.06171,0.000132834,0.000132834,0.000132834
14,278.055,1.09677,2.91193,1.08018,0.19719,0.23434,0.18541,0.15446,1.084,2.84974,1.0989,0.000130904,0.000130904,0.000130904
15,293.862,1.10397,2.90462,1.08708,0.48548,0.18659,0.19344,0.16541,1.06318,2.80537,1.07785,0.000128973,0.000128973,0.000128973
16,307.864,1.05043,2.83046,1.07171,0.54899,0.20653,0.23467,0.19519,1.04725,2.91183,1.06987,0.000127042,0.000127042,0.000127042
17,323.12,1.06728,2.77531,1.06027,0.33811,0.23821,0.23639,0.19718,1.02549,2.72453,1.05159,0.000125112,0.000125112,0.000125112
18,337.259,1.06974,2.75488,1.07354,0.31932,0.25201,0.21231,0.17335,1.07382,2.76095,1.08133,0.000123181,0.000123181,0.000123181
19,351.802,1.05079,2.65872,1.06167,0.41282,0.23601,0.25287,0.21196,0.98215,2.56827,1.05547,0.000121251,0.000121251,0.000121251
20,366.095,1.05086,2.61009,1.05113,0.69562,0.14704,0.23145,0.19706,1.02902,2.73036,1.07761,0.00011932,0.00011932,0.00011932
21,382.094,1.05551,2.62172,1.0667,0.42445,0.21703,0.24179,0.20282,1.01994,2.67059,1.05193,0.00011739,0.00011739,0.00011739
22,396.84,1.03031,2.57987,1.05343,0.35191,0.24204,0.23703,0.20414,1.00613,2.74371,1.05796,0.00011546,0.00011546,0.00011546
23,411.447,1.0201,2.49526,1.03553,0.37198,0.19977,0.25581,0.21551,1.01341,2.72355,1.0397,0.000113529,0.000113529,0.000113529
24,425.485,1.01093,2.42194,1.03595,0.44677,0.19093,0.2525,0.2115,1.06258,2.6673,1.06475,0.000111598,0.000111598,0.000111598
25,445.549,1.02092,2.41552,1.0323,0.22487,0.34073,0.26194,0.22117,1.00709,2.59212,1.03087,0.000109668,0.000109668,0.000109668
26,460.613,1.01533,2.37079,1.03846,0.2166,0.34095,0.28683,0.24278,1.02527,2.59172,1.03572,0.000107738,0.000107738,0.000107738
27,474.688,1,2.38971,1.03363,0.34685,0.29383,0.27043,0.2288,1.01984,2.6323,1.03952,0.000105807,0.000105807,0.000105807
28,489.518,0.99293,2.3046,1.03053,0.37517,0.29818,0.30802,0.26411,1.03669,2.5895,1.06091,0.000103877,0.000103877,0.000103877
29,503.559,1.01935,2.29595,1.03631,0.42613,0.25159,0.27141,0.23666,1.04045,2.64526,1.04477,0.000101946,0.000101946,0.000101946
30,518.027,0.99727,2.29344,1.02329,0.30743,0.28236,0.26733,0.23032,1.01231,2.65326,1.04422,0.000100015,0.000100015,0.000100015
31,532.862,0.99615,2.2506,1.02953,0.48245,0.20296,0.25857,0.22781,1.03174,2.6407,1.0337,9.8085e-05,9.8085e-05,9.8085e-05
32,547.978,0.98461,2.19652,1.01572,0.33077,0.23879,0.25744,0.22274,1.04245,2.64682,1.05289,9.61545e-05,9.61545e-05,9.61545e-05
33,572.4,0.99063,2.2355,1.02345,0.46269,0.19889,0.22549,0.1902,1.01391,2.67046,1.04852,9.4224e-05,9.4224e-05,9.4224e-05
34,588.577,1.01165,2.17612,1.03037,0.36376,0.23596,0.23648,0.20148,1.02002,2.655,1.04957,9.22935e-05,9.22935e-05,9.22935e-05
35,614.646,0.96761,2.17116,1.02483,0.45017,0.21496,0.26064,0.22674,0.96976,2.74408,1.02531,9.0363e-05,9.0363e-05,9.0363e-05
